DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
166126,166126,Mk10,08:10:43 10-May-2017,Argos,3,-64.5695,-62.1958,163,283,93,100,,,,,,
166126,166126,Mk10,08:15:13 10-May-2017,Argos,2,-64.5671,-62.1995,373,707,196,110,,,,,,
166126,166126,Mk10,08:48:35 10-May-2017,Argos,1,-64.5438,-62.2309,1284,16508,99,104,,,,,,
166126,166126,Mk10,09:26:11 10-May-2017,Argos,0,-64.5242,-62.2318,1729,11727,254,93,,,,,,
166126,166126,Mk10,09:54:54 10-May-2017,Argos,0,-64.5376,-62.2095,1546,12593,189,87,,,,,,
166126,166126,Mk10,10:18:25 10-May-2017,Argos,1,-64.5364,-62.1870,852,5985,121,101,,,,,,
166126,166126,Mk10,10:28:58 10-May-2017,Argos,A,-64.5466,-62.1838,969,1514,620,8,,,,,,
166126,166126,Mk10,11:05:09 10-May-2017,Argos,2,-64.5363,-62.1882,306,922,101,91,,,,,,
166126,166126,Mk10,11:38:19 10-May-2017,Argos,1,-64.5414,-62.2169,605,2571,142,118,,,,,,
166126,166126,Mk10,11:56:38 10-May-2017,Argos,3,-64.5432,-62.2128,138,916,20,83,,,,,,
166126,166126,Mk10,11:56:38 10-May-2017,Argos,3,-64.5432,-62.2128,138,916,20,83,,,,,,
166126,166126,Mk10,11:57:08 10-May-2017,Argos,B,-64.5433,-62.2134,172,562,52,85,,,,,,
166126,166126,Mk10,00:11:02 11-May-2017,Argos,1,-64.5811,-62.2278,537,3817,75,77,,,,,,
166126,166126,Mk10,00:47:30 11-May-2017,Argos,1,-64.5625,-62.2219,828,1368,500,74,,,,,,
166126,166126,Mk10,01:17:09 11-May-2017,Argos,1,-64.5605,-62.2354,844,2406,296,81,,,,,,
166126,166126,Mk10,01:26:08 11-May-2017,Argos,2,-64.5706,-62.2363,315,1101,90,76,,,,,,
166126,166126,Mk10,01:39:00 11-May-2017,Argos,A,-64.5627,-62.2431,466,794,273,55,,,,,,
166126,166126,Mk10,01:51:49 11-May-2017,Argos,1,-64.5627,-62.2479,711,1636,309,92,,,,,,
166126,166126,Mk10,02:27:18 11-May-2017,Argos,1,-64.5657,-62.2037,641,4844,84,78,,,,,,
166126,166126,Mk10,02:56:30 11-May-2017,Argos,2,-64.5811,-62.2334,252,671,94,85,,,,,,
166126,166126,Mk10,03:06:48 11-May-2017,Argos,1,-64.5704,-62.2268,851,1515,478,111,,,,,,
166126,166126,Mk10,03:25:31 11-May-2017,Argos,A,-64.5721,-62.2712,2432,7826,755,49,,,,,,
