                                     74           02          142
13440 121210   7  7 R 2 2013-06-14 11:14:43 -16.163  283.503  0.000 401677536
      2013-06-14 11:12:29  3         31          251          209           62
                                     73           02          140
      2013-06-14 11:14:09  1         31          251          209           63
                                     72           02          140
      2013-06-14 11:14:43  2         31          251          209           61
                                     74           02          140
13440 121210   3  7 L B 2013-06-14 12:46:23 -16.062  283.475  0.000 401677536
      2013-06-14 12:46:23  1         63          251          203           60
                                    210           10           07
13440 121210   3  7 R B 2013-06-14 12:46:06 -16.062  283.475  0.000 401677536
      2013-06-14 12:46:23  2         31          251          207           60
                                     82           02          135
13440 123224   5  7 P B 2013-06-13 19:35:21 -33.889  285.020  0.000 401677202
      2013-06-13 19:30:57  1        124          166          212           70
                                     93           02          101
      2013-06-13 19:39:45  1        124          166          211           72
                                     99           02           94
13440 123224   3  7 L B 2013-06-14 01:30:29 -34.745  285.558  0.000 401676909
      2013-06-14 01:30:30  1        124          166          211           71
                                     93           02          101
13440 123232   7  7 A A 2013-06-13 01:53:40  -6.425  279.171  0.000 401677278
      2013-06-13 01:46:24  1        188          128          208           57
                                    132           06           52
      2013-06-13 01:52:37  1        188          128          208           57
                                    132           02           53
      2013-06-13 01:54:43  1        188          128          208           59
                                    128           02           55
13440 123232   5  7 L A 2013-06-13 01:46:24  -6.423  279.167  0.000 401677278
      2013-06-13 01:52:37  2        188          128          208           57
                                    132           02           53
      2013-06-13 01:54:43  1        188          128          208           59
